Symbol,Close,Percent Change,Volume
NABIL,910,-2.15,26873
NABIL,914,0,24747
NABIL,908,-0.66,29333
NABIL,906,-0.22,25594
NABIL,899,-0.77,45910
NABIL,897.1,-0.21,33616
NABIL,900,0.32,38263
NABIL,898.6,-0.16,39717
NABIL,898,-0.07,39790
NABIL,890,-0.89,44382
NABIL,875,-1.69,45502
NABIL,867,-0.91,32984
NABIL,861.9,-0.59,36911
NABIL,845,-1.96,43168
NABIL,846,0.12,41330
NABIL,831.5,-1.71,34581
NABIL,843,1.38,43083
NABIL,846.4,0.4,45493
NABIL,848.1,0.2,26409
NABIL,846,-0.25,27758
NABIL,838.5,-0.89,38169
NABIL,825,-1.61,33494
NABIL,825,0,30303
NABIL,817,-0.97,16582
NABIL,816,-0.12,49808
NABIL,794.9,-2.59,51029
NABIL,792,-0.36,54464
NABIL,782,-1.26,43206
NABIL,749,-4.22,73119
NABIL,740,-1.2,32412
NABIL,775,4.73,88020
NABIL,780,0.65,89874
NABIL,778,-0.26,35763
NABIL,795,2.19,28748
NABIL,835,5.03,46615
NABIL,856,2.51,42203
NABIL,889,3.86,71068
NABIL,895,0.67,114314
NABIL,872,-2.57,50999
NABIL,864,-0.92,58061
NABIL,845,-2.2,51271
NABIL,826,-2.25,30318
NABIL,792,-4.12,69864
NABIL,796.9,0.62,42720
NABIL,811,1.77,59513
NABIL,817,0.74,54640
NABIL,824,0.86,22065
NABIL,830,0.73,28983
NABIL,832,0.24,29302
NABIL,838,0.72,48099
NABIL,845,0.84,32488
NABIL,855,1.18,36824
NABIL,839.9,-1.77,26240
NABIL,860,2.39,41717
NABIL,885,2.91,53131
NABIL,866,-2.15,49899
NABIL,866,0,43850
NABIL,866,0,43396
NABIL,869.9,0.45,17497
NABIL,881,1.28,52796
NABIL,881.9,0.1,47675
NABIL,877,-0.56,27948
NABIL,862,-1.71,93835
NABIL,850,-1.39,37325
NABIL,819.7,-3.56,171702
NABIL,817,-0.33,156363
NABIL,803,-1.71,134201
NABIL,788.1,-1.86,130944
NABIL,790,0.24,82028
NABIL,793,0.38,56771
NABIL,789,-0.5,56155
NABIL,799.4,1.32,52346
